Electrode_ID,X_mm,Y_mm,Z_mm,Brodmann_Area,Anatomy_Label,Shift_Correction_mm
1,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,194.766
2,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,181.094
3,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,170.598
4,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,191.074
5,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,177.803
6,29.736,16.497,49.912,0,unknown,182.074
7,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,195.924
8,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,162.83
9,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,162.883
10,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,195.07
11,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,193.625
12,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,189.999
13,33.034,14.166,48.792,0,unknown,215.421
14,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,158.455
15,33.034,14.166,48.792,0,unknown,216.016
16,33.034,14.166,48.792,0,unknown,215.872
17,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,143.751
18,33.034,14.166,48.792,0,unknown,213.156
19,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,137.61
20,16.894,12.542,55.788,6,Premotor & Supplementary Motor Cortex,152.156
21,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,137.324
22,6.248,30.304,52.963,0,unknown,130.59
23,15.851,26.341,52.03,0,unknown,156.406
24,20.411,21.64,51.928,0,unknown,151.726
25,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,133.144
26,30.923,17.609,49.004,0,unknown,182.952
27,29.736,16.497,49.912,0,unknown,164.808
28,10.973,28.24,52.959,0,unknown,120.107
29,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,158.703
30,18.006,10.419,55.764,6,Premotor & Supplementary Motor Cortex,151.971
31,29.736,16.497,49.912,0,unknown,163.249
32,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,121.551
33,29.736,16.497,49.912,0,unknown,172.4
34,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,158.753
35,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,120.812
36,29.736,16.497,49.912,0,unknown,161.749
37,29.736,16.497,49.912,0,unknown,161.125
38,20.654,6.797,55.313,6,Premotor & Supplementary Motor Cortex,153.024
39,10.973,28.24,52.959,0,unknown,123.668
40,21.056,7.625,55.157,6,Premotor & Supplementary Motor Cortex,156.446
41,18.006,10.419,55.764,6,Premotor & Supplementary Motor Cortex,144.351
42,4.767,-3.659,59.005,6,Premotor & Supplementary Motor Cortex,116.669
43,31.089,14.512,49.699,0,unknown,168.824
44,30.765,13.52,50.049,0,unknown,159.127
45,29.736,16.497,49.912,0,unknown,159.114
46,18.983,9.083,55.635,6,Premotor & Supplementary Motor Cortex,135.775
47,31.412,16.927,49.005,0,unknown,172.895
